B, 132.9446349956809
Al, 643.2670281409422
Ga, 555.5710802083051
In, 812.7160838864476
Tl, 831.6391019844609
C, 57.97920888493136
Si, 329.0469352328235
Ge, 354.85023616667604
Sn, 579.1189680309708
Pb, 631.7899461981707
Fl, 789.4228545802789
N, 27.994522778338727
P, 175.6996974055415
As, 225.2256629563977
Sb, 404.2468550751971
Bi, 460.7628558433668
Mc, 588.188413530588
O, 19.31263515122369
S, 124.02955351218206
Se, 179.04268116028643
Te, 385.2314608486729
Po, 407.96508341479085
Lv, 548.8868291471621
F, 11.66272028842985
Cl, 79.30264375460341
Br, 131.31088338673652
At, 332.07256552380136
Ts, 452.58311016082774
Nh,982.1330119545258 
I,265.1275572211446
K,5168.98 
Rb,6868.24 
Cs,11135.70
Fr,9399.78
Ca,3105.31 
Sr,4672.82
Ba,8746.66
Ra,7360.19
Ar,50.80 
Kr,95.87 
Xe,199.32
Rn,263.08
Og,363.39
